Documento,Nombre,Apellido,Genero,Usuario,CorreoAlterno,Nacimiento,Estado,ProgramaAcademico,Jornada,LugarNacimiento,FechaRegistro,NacionalExtranjero
1787684020,Rafael,De Pedro,M,rde263,rafaeldem56@gmail.com,9/11/2003,ACTIVO,Ingenieria Electronica,Diurno,Estados Federados de Micronesia,14/7/2022,Extranjero
1692094818,Ramon,Duenas,M,rdu446,ramondum31@gmail.com,22/6/2004,ACTIVO,Ingenieria Electronica,Nocturno,Somalia,23/9/2023,Extranjero
1630227540,Carlos,Vega,M,cve899,carlosvem82@gmail.com,14/4/1999,ACTIVO,Ingenieria de Sistemas,Diurno,(Colombia/LOS PALMITOS),28/8/2015,Nacional
1949985822,Antonio,Barragan,M,aba891,antoniobam40@gmail.com,28/12/2005,ACTIVO,Ingenieria Ambiental,Diurno,Islas Salomón,25/8/2017,Extranjero
1705877018,Juan Jose,Estebanez,M,jes664,juan joseesm34@gmail.com,6/2/2000,ACTIVO,Bioingenieria,Diurno,(Colombia/MAJAGUAL),14/9/2021,Nacional
1356104503,David,Manjon,M,dma380,davidmam79@gmail.com,9/3/2005,ACTIVO,Ingenieria Electronica,Nocturno,(Colombia/PALMIRA),29/4/2019,Nacional
1371550979,Pedro,Cueva,M,pcu511,pedrocum41@gmail.com,5/2/1999,ACTIVO,Ingenieria de Sistemas,Diurno,(Colombia/MARMATO),9/11/2019,Nacional
1149690251,Alberto,Gonzalez,M,ago128,albertogom1@gmail.com,10/11/2005,ACTIVO,Bioingenieria,Diurno,(Colombia/RIOFRIO),11/7/2018,Nacional
1177369518,Laura,Navarro,F,lna66,lauranaf86@gmail.com,16/10/2001,ACTIVO,Ingenieria Electronica,Nocturno,(Colombia/POLICARPA),13/5/2018,Nacional
1631596910,Carlos,Del Rio,M,cde438,carlosdem48@gmail.com,1/12/2004,ACTIVO,Ingenieria de Sistemas,Nocturno,(Colombia/BARBOSA),5/12/2019,Nacional
1557159869,Luis,Munoz,M,lmu6,luismum59@gmail.com,4/7/2001,ACTIVO,Ingenieria Industrial,Diurno,Senegal,9/7/2018,Extranjero
1962834837,Jose Manuel,Jaen,M,jja365,jose manueljam53@gmail.com,2/11/2005,ACTIVO,Ingenieria Electronica,Diurno,(Colombia/FLORIDA),14/9/2017,Nacional
1932845168,Carmen,Polo,F,cpo142,carmenpof91@gmail.com,3/9/2001,ACTIVO,Ingenieria Industrial,Diurno,Alemania,27/10/2020,Extranjero
1255690791,Pilar,Varela,F,pva72,pilarvaf90@gmail.com,4/4/1999,ACTIVO,Ingenieria Ambiental,Diurno,Guinea-Bissau,4/1/2016,Extranjero
1038519771,Manuel,Diaz,M,mdi668,manueldim77@gmail.com,20/12/2002,ACTIVO,Ingenieria Ambiental,Diurno,Federación Rusa,16/9/2018,Extranjero
1042250226,Angel,Estrella,M,aes819,angelesm88@gmail.com,1/8/2000,ACTIVO,Bioingenieria,Diurno,Islas Cook,2/10/2017,Extranjero
